1,Ancient trap
2,Ancient trap
3,Ancient trap
4,Ancient trap
5,Ancient trap
6,Hazardous architecture or terrain
7,Hazardous architecture or terrain
8,Hazardous architecture or terrain
9,Hazardous architecture or terrain
10,Hazardous architecture or terrain
11,Blocked or broken path
12,Blocked or broken path
13,Denizen protects an ancient secret
14,Denizen protects an ancient secret
15,Denizen reveres an ancient power
16,Denizen reveres an ancient power
17,Living relics of a lost age
18,Living relics of a lost age
19,Ancient evil resurgent
20,Ancient evil resurgent
21,Dire warnings of a long-buried danger
22,Dire warnings of a long-buried danger
23,Ancient disease or contamination
24,Ancient disease or contamination
25,Artifact of terrible meaning or power
26,Artifact of terrible meaning or power
27,Disturbing evidence of ancient wrongs
28,Disturbing evidence of ancient wrongs
29,Others seek power or knowledge
30,Others seek power or knowledge