1,Denizen patrols the area
2,Denizen patrols the area
3,Denizen patrols the area
4,Denizen patrols the area
5,Denizen patrols the area
6,Denizen on guard
7,Denizen on guard
8,Denizen on guard
9,Denizen on guard
10,Denizen on guard
11,Denizen ready to sound the alarm
12,Denizen ready to sound the alarm
13,Denizen sets an ambush
14,Denizen sets an ambush
15,Denizen lures you into a trap
16,Denizen lures you into a trap
17,Denizens converge on this area
18,Denizens converge on this area
19,Pets or underlings
20,Pets or underlings
21,Unexpected alliance revealed
22,Unexpected alliance revealed
23,Nefarious plans revealed
24,Nefarious plans revealed
25,Unexpected leader revealed
26,Unexpected leader revealed
27,Trap
28,Trap
29,Alarm trigger
30,Alarm trigger