1,Denizen haunts this area
2,Denizen haunts this area
3,Denizen haunts this area
4,Denizen haunts this area
5,Denizen haunts this area
6,Unsettling sounds or foreboding signs
7,Unsettling sounds or foreboding signs
8,Unsettling sounds or foreboding signs
9,Unsettling sounds or foreboding signs
10,Unsettling sounds or foreboding signs
11,Denizen attacks without warning
12,Denizen attacks without warning
13,Denizen makes a costly demand
14,Denizen makes a costly demand
15,Denizen seizes your body or mind
16,Denizen seizes your body or mind
17,Denizen taunts or lures you
18,Denizen taunts or lures you
19,A disturbing truth is revealed
20,A disturbing truth is revealed
21,Frightening visions
22,Frightening visions
23,The environment is used against you
24,The environment is used against you
25,Trickery leads you astray
26,Trickery leads you astray
27,True nature of this place is revealed
28,True nature of this place is revealed
29,"Sudden, shocking manifestation"
30,"Sudden, shocking manifestation"