1,Denizens swarm and attack
2,Denizens swarm and attack
3,Denizens swarm and attack
4,Denizens swarm and attack
5,Denizens swarm and attack
6,Toxic or sickening environment
7,Toxic or sickening environment
8,Toxic or sickening environment
9,Toxic or sickening environment
10,Toxic or sickening environment
11,Denizen stalks you
12,Denizen stalks you
13,Denizen takes or destroys something
14,Denizen takes or destroys something
15,Denizen reveals surprising cleverness
16,Denizen reveals surprising cleverness
17,Denizen guided by a greater threat
18,Denizen guided by a greater threat
19,Denizen blocks the path
20,Denizen blocks the path
21,Denizen funnels you down a new path
22,Denizen funnels you down a new path
23,Denizen undermines the path
24,Denizen undermines the path
25,Denizen lays in wait
26,Denizen lays in wait
27,Trap or snare
28,Trap or snare
29,Victim’s horrible fate is revealed
30,Victim’s horrible fate is revealed